ID	Gene Name	Species	GAD_DISEASE
RSU1	Ras suppressor protein 1(RSU1)	Homo sapiens	Alzheimer's disease   ,Stroke,Tobacco Use Disorder,
ARHGDIB	Rho GDP dissociation inhibitor beta(ARHGDIB)	Homo sapiens	bladder cancer,chronic obstructive pulmonary disease,lung cancer,lung cancer ,prostate cancer,
ARHGAP25	Rho GTPase activating protein 25(ARHGAP25)	Homo sapiens	Electrocardiography,coronary spastic angina,
ARHGAP4	Rho GTPase activating protein 4(ARHGAP4)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
SKP1	S-phase kinase associated protein 1(SKP1)	Homo sapiens	Tobacco Use Disorder,
S100A10	S100 calcium binding protein A10(S100A10)	Homo sapiens	Dermatitis, Atopic|,antidepressant response,depressive disorder, major,major depressive disorder,thyroid cancer,
S100A11	S100 calcium binding protein A11(S100A11)	Homo sapiens	Hair,Tobacco Use Disorder,
S100A4	S100 calcium binding protein A4(S100A4)	Homo sapiens	Dermatitis, Atopic|,Hepatopulmonary Syndrome|Liver Cirrhosis,
SACM1L	SAC1 like phosphatidylinositide phosphatase(SACM1L)	Homo sapiens	Antidepressive Agents,
SLTM	SAFB like transcription modulator(SLTM)	Homo sapiens	Asperger Syndrome,Insulin,several psychiatric disorders,
SATB1	SATB homeobox 1(SATB1)	Homo sapiens	Alcoholism,Arteries,Cholesterol, HDL,Crohn Disease,Eosinophils,Inflammatory Bowel Diseases,Insulin,Insulin Resistance,Psoriasis,Tobacco Use Disorder,
SEC11C	SEC11 homolog C, signal peptidase complex subunit(SEC11C)	Homo sapiens	Pancreatic Neoplasms,
SETD2	SET domain containing 2, histone lysine methyltransferase(SETD2)	Homo sapiens	schizophrenia,
SFT2D1	SFT2 domain containing 1(SFT2D1)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,
SH3BGRL	SH3 domain binding glutamate rich protein like(SH3BGRL)	Homo sapiens	obesity,
SH3GLB1	SH3 domain containing GRB2 like, endophilin B1(SH3GLB1)	Homo sapiens	Breast Neoplasms|Carcinoma|Carcinoma, Large Cell|Colorectal Neoplasms|Leukemia, Lymphoid|Lung Neoplasms|Neoplasms|Stomach Neoplasms,
SKIL	SKI like proto-oncogene(SKIL)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,Prostatic Neoplasms,
SMAD2	SMAD family member 2(SMAD2)	Homo sapiens	Bone Mineral Density,Cleft Lip|Cleft Palate,Hepatopulmonary Syndrome|Liver Cirrhosis,Hypertension, Pulmonary,Obesity|POF - Premature ovarian failure|POLYCYSTIC OVARIAN SYNDROME|Polycystic Ovary Syndrome|Primary Ovarian Insufficiency|Puberty, Delayed|Puberty, Precocious|Thrombophilia|Tobacco Use Disorder,Pancreatic Neoplasms,bone density,colorectal cancer; Tourette syndrome; bone density; pregnancy loss, recurrent; cleft lip without cleft palate; juvenile polyposis; cleft palate,esophageal adenocarcinoma,inflammatory bowel disease   | colorectal cancer  ,
SNW1	SNW domain containing 1(SNW1)	Homo sapiens	Asthma|,
SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2(SPOCK2)	Homo sapiens	Alzheimer's disease   ,Insulin-Like Growth Factor I,breast cancer   ,
SPG7	SPG7 matrix AAA peptidase subunit, paraplegin(SPG7)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Chronic renal failure|Kidney Failure, Chronic,Hemoglobin A, Glycosylated,Lipoproteins, VLDL,Motor Neuron Disease|Paraparesis, Spastic,multiple sclerosis,
SCAF4	SR-related CTD associated factor 4(SCAF4)	Homo sapiens	Albuminuria|Diabetic Nephropathies|Diabetic Nephropathy|Diabetic Retinopathy|Disease Progression,Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Meningeal Neoplasms|meningioma,Type 2 Diabetes| edema | rosiglitazone,
SRPK1	SRSF protein kinase 1(SRPK1)	Homo sapiens	Tobacco Use Disorder,
SUN2	Sad1 and UNC84 domain containing 2(SUN2)	Homo sapiens	Inflammation|Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,
TBK1	TANK binding kinase 1(TBK1)	Homo sapiens	Coronary Artery Disease,Dengue Hemorrhagic Fever,Hepatitis C|Remission, Spontaneous,
TAOK3	TAO kinase 3(TAOK3)	Homo sapiens	Tobacco Use Disorder,
TBPL1	TATA-box binding protein like 1(TBPL1)	Homo sapiens	Azoospermia|Infertility, Male|Oligospermia,liver function; iron levels; ferritin; transferrin saturation,
TBC1D10C	TBC1 domain family member 10C(TBC1D10C)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
TBC1D4	TBC1 domain family member 4(TBC1D4)	Homo sapiens	Blood Pressure,Blood Pressure Determination,Carotid Stenosis,Tobacco Use Disorder,
TIPARP	TCDD inducible poly(ADP-ribose) polymerase(TIPARP)	Homo sapiens	Ovarian Neoplasms,celiac disease,ovarian cancer,
TGIF1	TGFB induced factor homeobox 1(TGIF1)	Homo sapiens	Alcoholism,Cholesterol, LDL,Cleft Lip|Cleft Palate,Myopia,Myopia, Degenerative,Waist Circumference,myopia,psychosis,
TIMP1	TIMP metallopeptidase inhibitor 1(TIMP1)	Homo sapiens	Alzheimer's Disease,Alzheimer's disease   ,Aortic Aneurysm, Abdominal,Arthritis, Rheumatoid|Rheumatoid Arthritis,COPD | Chronic obstructive Pulmonary Disease,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes|Obstetric Labor, Premature|Pre-Eclampsia|Premature Birth,Constriction, Pathologic|Graft Occlusion, Vascular,Coronary Disease,Coronary Disease|Coronary heart disease|Diabetic Angiopathies|Myocardial Infarction,Crohn Disease|Recurrence,Crohn's disease ulcerative colitis,Duodenal Ulcer|Helicobacter Infections,Endometrial Neoplasms|,H. pylori infection stomach cancer,Helicobacter Infections|Metaplasia,Hepatitis C, Chronic|Liver Cirrhosis,Lymphoma, Non-Hodgkin,Spondylitis, Ankylosing,Type 2 Diabetes| edema | rosiglitazone,abdominal aortic aneurysm,aneurysm,arthritis,asthma,brain aneurysm,intracranial aneurysms,myopia,ovarian cancer,rectal cancer,restenosis,sclerosis, systemic,
TRAF1	TNF receptor associated factor 1(TRAF1)	Homo sapiens	Alzheimer's disease   ,Arthritis, Juvenile Rheumatoid|,Arthritis, Juvenile Rheumatoid|Arthritis, Rheumatoid|Chronic Childhood Arthritis|Rheumatoid Arthritis,Arthritis, Rheumatoid,Arthritis, Rheumatoid|,Arthritis, Rheumatoid|Atherosclerosis|Cardiovascular Diseases|Rheumatoid Arthritis,Arthritis, Rheumatoid|Cardiovascular Diseases|Neoplasms|Rheumatoid Arthritis,Arthritis, Rheumatoid|Lupus Erythematosus, Systemic,Arthritis, Rheumatoid|Neoplasms|Sepsis,Arthritis, Rheumatoid|Rheumatoid Arthritis,Arthritis|Arthritis, Juvenile Rheumatoid|Arthritis, Rheumatoid|Autoimmune Diseases|Lupus Erythematosus, Systemic,Autoimmune Diseases|Endometriosis,Autoimmune Diseases|Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Bone Mineral Density,Glomerulonephritis, IGA|IGA Glomerulonephritides|Lupus Nephritis|Nephritis SLE,HIV,Inflammation|Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,Pemphigus,Rheumatic Heart Disease,Type 2 Diabetes| edema | rosiglitazone,Wegener's granulomatosis,alopecia areata,diabetes, type 1 ,giant cell arteritis,longevity,multiple autoimmune diseases,patent ductus arteriosus,rheumatoid arthritis,schizophrenia,systemic lupus erythematosus ,
TRAF3	TNF receptor associated factor 3(TRAF3)	Homo sapiens	Alzheimer's disease   ,Brain imaging in schizophrenia (interaction),HIV,Leukemia, Lymphocytic, Chronic, B-Cell,Schizophrenia,Type 2 Diabetes| edema | rosiglitazone,longevity,
TNFRSF14	TNF receptor superfamily member 14(TNFRSF14)	Homo sapiens	Arthritis, Rheumatoid|,Arthritis, Rheumatoid|Rheumatoid Arthritis,Brill-Symmers disease|Chromosome Deletion|Lymphoma, Follicular,Celiac disease,Colitis, Ulcerative,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Multiple Myeloma,antibody response to pertussis vaccination,benzene haematotoxicity,diabetes, type 1 ,subacute sclerosing panencephalitis,
TNFRSF1A	TNF receptor superfamily member 1A(TNFRSF1A)	Homo sapiens	Abortion, Habitual|Abortion, Spontaneous,Acute Coronary Syndrome|,Aggressive Periodontitis|Alveolar Bone Loss|Chronic Periodontitis|Periodontal Attachment Loss|Periodontal Pocket|Periodontitis,Alzheimer's disease   ,Amyloidosis|Behcet Syndrome|Familial Mediterranean Fever|Irritable Bowel Syndrome,Arthritis, Rheumatoid|Rheumatoid Arthritis,Aspergillosis|Lung Diseases, Fungal,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Bone Mineral Density,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Carcinoma, Squamous Cell|Mouth Neoplasms,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes|Obstetric Labor, Premature|Pre-Eclampsia|Premature Birth,Congenital Heart Defects|Heart Defects, Congenital,Connective Tissue Diseases|Fetal Diseases|Inflammation|Musculoskeletal Diseases|Pregnancy Complications, Hematologic|Premature Birth|Skin Diseases,Crohn Disease,Crohn's disease,Crohn's disease; ulcerative colitis,Diarrhea|Familial Mediterranean Fever|Pain|Stomatitis, Aphthous,Endometriosis,Familial Mediterranean Fever,Familial Mediterranean Fever; hyper-IgD syndrome,Familial Mediterranean Fever|,Glaucoma, Open-Angle,Graft vs Host Disease,HIV,HTLV-1 infection,Hepatitis C|Remission, Spontaneous,Hereditary Autoinflammatory Diseases|Lymphadenitis|Pharyngitis|Stomatitis, Aphthous|Syndrome,Hypercholesterolemia|LDLC levels,Infection|Inflammation|Premature Birth,Inflammation|Premature Birth,Liver Cirrhosis, Biliary,Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Lymphoma, Non-Hodgkin,Lymphoproliferative Disorders,Measles|Mumps|Rubella,Multiple Myeloma,Multiple Sclerosis,Osteoporosis, Postmenopausal,Parkinson's disease,Premature Birth,Rheumatic Diseases|Rheumatism,Rheumatoid Arthritis,Rheumatoid spondylitis|Spondylitis, Ankylosing,Spondylitis, Ankylosing,TRAPS|Pericarditis|,Thyroiditis, Autoimmune,Tumor necrosis factor receptor-associated periodic syndrome,Type 2 Diabetes| edema | rosiglitazone,alcohol,amyloidosis,anemia, iron deficiency; anemia of chronic disease,arthritis,arthritis, juvenile,atherosclerosis,atherosclerosis, coronary,benzene haematotoxicity,bladder cancer,breast cancer   ,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease/COPD,cirrhosis,coronary artery disease,cystic fibrosis,diabetes, type 1,diabetes, type 2,diabetes, type 2; nephropathy in other diseases,esophageal adenocarcinoma,hepatitis C,inflammatory bowel disease ,lung cancer,lung cancer ,lupus erythematosus; rheumatoid arthritis,lymphoma,methamphetamine abuse,multiple sclerosis,myelopathy, HTLV-1 associated,myocardial infarct; carotid intima-media thickness,narcolepsy,obesity PAI-1 levels,osteoarthritis,paratyphoid feber typhoid fever,patent ductus arteriosus,periodic syndrome,preterm delivery,psoriatic arthritis,respiratory syncytial virus bronchiolitis,restenosis,rheumatoid arthritis,schizophrenia,sepsis,systemic lupus erythematosus,thrombosis, deep vein; Behcet's disease,tuberculosis tumor necrosis factor-alpha,uveitis,
TNFRSF1B	TNF receptor superfamily member 1B(TNFRSF1B)	Homo sapiens	Adrenal Hyperplasia, Congenital|Hyperandrogenism,Aggressive Periodontitis|Alveolar Bone Loss|Chronic Periodontitis|Periodontal Attachment Loss|Periodontal Pocket|Periodontitis,Alzheimer's disease,Alzheimer's disease   ,Anemia, Aplastic|Aplastic anemia|Genetic Diseases, Inborn|Graft vs Host Disease|Hematologic Neoplasms|Recurrence,Arthritis, Psoriatic|Psoriatic arthropathy,Arthritis, Rheumatoid,Arthritis, Rheumatoid|,Arthritis, Rheumatoid|Cardiovascular Diseases|Hypertension|Myocardial Ischemia|Pulmonary Embolism|Stroke|Venous Thrombosis,Arthritis, Rheumatoid|Osteoarthritis, Knee,Arthritis, Rheumatoid|Rheumatoid Arthritis,Arthritis, Rheumatoid|Rheumatoid Arthritis|Anti-TNF Response,Aspergillosis|Lung Diseases, Fungal,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Bacteremia|,Behcet Syndrome|Uveitis,Bone Mineral Density,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Carcinoma, Squamous Cell|Esophageal Neoplasms|Lymphatic Metastasis|Oesophageal neoplasm|Squamous cell carcinoma,Carcinoma, Squamous Cell|Mouth Neoplasms,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes|Obstetric Labor, Premature|Pre-Eclampsia|Premature Birth,Chronic renal failure|Kidney Failure, Chronic,Colitis, Ulcerative|Crohn Disease|,Connective Tissue Diseases|Fetal Diseases|Inflammation|Musculoskeletal Diseases|Pregnancy Complications, Hematologic|Premature Birth|Skin Diseases,Coronary Disease|Coronary heart disease,Crohn Disease,Crohn Disease|Rectal Fistula,Crohn's disease,Crohn's disease; ulcerative colitis,Endometriosis,Fractures, Bone|Osteoporosis, Postmenopausal,Graft vs Host Disease,Graft vs Host Disease|Leukemia,HTLV-1 infection,Hypercholesterolemia|LDLC levels,Hypertension|Insulin Resistance,Infection|Inflammation|Premature Birth,Inflammation|Myocardial Infarction,Inflammation|Premature Birth,Leukemia, Lymphocytic, Chronic, B-Cell,Leukemia, Myelogenous, Chronic, BCR-ABL Positive,Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Neovascularization, Pathologic,Lichen Planus, Oral,Liver Diseases, Alcoholic,Lupus,Lupus Erythematosus, Systemic,Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Lymphoma, Non-Hodgkin,Lymphoproliferative Disorders,Measles|Mumps|Rubella,Multiple Myeloma,Obesity,Osteoporosis,Osteoporosis, Postmenopausal,Premature Birth,Rheumatic Diseases|Rheumatism,Rheumatoid Arthritis,Rubella,Schizophrenia,Spondylitis, Ankylosing,Thyroiditis, Autoimmune,Type 2 Diabetes| edema | rosiglitazone,Type 2 diabetes,alcohol,anemia, iron deficiency; anemia of chronic disease,antineutrophil cytoplasmic antibody; (ANCA)-associated vasculitis,arthritis,arthritis, juvenile,atherosclerosis,atherosclerosis, coronary,autoimmune disease,benzene haematotoxicity,bone density,bone mass,bone mineral density,breast cancer,chronic obstructive pulmonary disease/COPD,coronary artery disease,diabetes, type 1,diabetes, type 2,diabetes, type 2; nephropathy in other diseases,endometriosis,human narcolepsy.,hypertension,idiopathic pulmonary fibrosis,inflammatory bowel disease ,lung cancer,lung cancer ,lupus erythematosus,lymphoma,multiple sclerosis,myelopathy, HTLV-1 associated,narcolepsy,obesity,obesity; polycystic ovarian syndrome; hyperandrogenism,osteoarthritis,ovarian cancer,patent ductus arteriosus,periodontitis,pneumonia,preterm delivery,psoriatic arthritis,pulmonary fibrosis; pneumoconiosis, coal workers',respiratory syncytial virus bronchiolitis,rheumatoid arthritis,schizophrenia,sclerosis, systemic,sepsis,silicosis,systemic lupus erythematosus,systemic lupus erythematosus; Buerger's disease; connective tissue disease, mixed; Takayasu's arteritis,tuberculosis ,uveitis,
TNFRSF25	TNF receptor superfamily member 25(TNFRSF25)	Homo sapiens	Multiple Myeloma,benzene haematotoxicity,diabetes, type 1,
TNFRSF4	TNF receptor superfamily member 4(TNFRSF4)	Homo sapiens	Acute Coronary Syndrome,Coronary Artery Disease,Hepatitis C|Remission, Spontaneous,Hypertension,Lupus Erythematosus, Systemic|Systemic lupus erythematosus,antibody response to pertussis vaccination,atherosclerosis,myocardial infarct,
TRIAP1	TP53 regulated inhibitor of apoptosis 1(TRIAP1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
TNIK	TRAF2 and NCK interacting kinase(TNIK)	Homo sapiens	Brain imaging in schizophrenia (interaction),Cell Adhesion Molecules,Cholesterol, HDL,Coronary Disease,Hemoglobins,Schizophrenia,Tobacco Use Disorder,schizophrenia,
TSC22D3	TSC22 domain family member 3(TSC22D3)	Homo sapiens	diabetes, type 2,
TAX1BP1	Tax1 binding protein 1(TAX1BP1)	Homo sapiens	Alcoholism|Head and Neck Neoplasms,Arthritis, Rheumatoid|,Obesity|POF - Premature ovarian failure|POLYCYSTIC OVARIAN SYNDROME|Polycystic Ovary Syndrome|Primary Ovarian Insufficiency|Puberty, Delayed|Puberty, Precocious|Thrombophilia|Tobacco Use Disorder,
UHMK1	U2AF homology motif kinase 1(UHMK1)	Homo sapiens	Bipolar Disorder,schizophrenia,
UBXN4	UBX domain protein 4(UBXN4)	Homo sapiens	Keratoconus,
UGP2	UDP-glucose pyrophosphorylase 2(UGP2)	Homo sapiens	Birth Weight|Hyperbilirubinemia, Neonatal,
UXS1	UDP-glucuronate decarboxylase 1(UXS1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Stroke,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,
VAPA	VAMP associated protein A(VAPA)	Homo sapiens	Bipolar Disorder,Blood Pressure Determination,Body Mass Index,Cholesterol, HDL,Coronary Artery Disease,Hemoglobin A, Glycosylated,Stroke,Waist Circumference,
VOPP1	VOPP1 WW domain binding protein(VOPP1)	Homo sapiens	hypertension,
VPS37B	VPS37B subunit of ESCRT-I(VPS37B)	Homo sapiens	Tobacco Use Disorder,
VRK3	VRK serine/threonine kinase 3(VRK3)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,
WNK1	WNK lysine deficient protein kinase 1(WNK1)	Homo sapiens	Apoplexy|Brain Ischemia|Stroke,Chronic renal failure|Kidney Failure, Chronic,Essential Hypertension,HIV Infections|[X]Human immunodeficiency virus disease,Hereditary Sensory and Autonomic Neuropathies,Hypertension,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,blood pressure, arterial,hypertension,
WTAP	WT1 associated protein(WTAP)	Homo sapiens	serum markers of iron status,
XRCC5	X-ray repair cross complementing 5(XRCC5)	Homo sapiens	Adenocarcinoma|Carcinoma, Squamous Cell|Deglutition Disorders|Head and Neck Neoplasms|Radiodermatitis,Alcoholism,Brain Neoplasms|Glioma,Chronic Obstructive Pulmonary Disease,Chronic renal failure|Kidney Failure, Chronic,Colorectal Neoplasms,Coronary Disease,Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary,Leukemia, Lymphocytic, Chronic, B-Cell,Leukemia, Myeloid|Myeloid Leukemia,Mouth Neoplasms|Precancerous Conditions,Multiple Myeloma,Tobacco Use Disorder,bladder cancer,brain cancer,breast cancer,breast cancer   ,cancer,chronic obstructive pulmonary disease,colorectal cancer,cytogenetic studies,endometrial cancer; cervical cancer; radiosensitivity, clinical,epithelial ovarian cancer ,esophageal adenocarcinoma,esophageal cancer gastric cardiac adenocarcinoma,head and neck cancer,lung cancer,lung cancer ,meningioma,multiple sclerosis,thyroid neoplasm|Thyroid Neoplasms,
YTHDF2	YTH N6-methyladenosine RNA binding protein F2(YTHDF2)	Homo sapiens	longevity,
YY1AP1	YY1 associated protein 1(YY1AP1)	Homo sapiens	Macular Degeneration,
YY1	YY1 transcription factor(YY1)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
YDJC	YdjC chitooligosaccharide deacetylase homolog(YDJC)	Homo sapiens	Autoimmune Diseases,Celiac Disease,
ACAA1	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Meningeal Neoplasms|meningioma,Type 2 Diabetes| edema | rosiglitazone,high altitude performance,nephropathy, diabetic,
ACP1	acid phosphatase 1(ACP1)	Homo sapiens	Abortion, Spontaneous,Birth Weight,Cardiovascular Diseases|Obesity,Colonic Neoplasms|,Coronary Artery Disease|Diabetes Mellitus, Type 2|,Coronary Artery Disease|Diabetes mellitus type II|Diabetes Mellitus, Type 2,Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1|Malaria,Diabetes Mellitus, Type 2|Diabetes, Gestational|Insulin Resistance,Endometriosis|Hypersensitivity,Epilepsy, Generalized|Epilepsy, Tonic-Clonic,Hypersensitivity,Leiomyoma|Uterine Neoplasms,Lupus Erythematosus, Systemic,Neoplasms,Obesity,Tobacco Use Disorder,Tourette syndrome,Type 2 Diabetes| edema | rosiglitazone,allergies,asthma,atherosclerosis, coronary; tuberculosis,cholesterol; triglycerides; obesity,cirrhosis, alcoholic,diabetes, type 1,diabetes, type 1 ,diabetes, type 2,glucose,haptoglobin development,intrauterine growth,obesity,obesity|asthma,osteoporosis, postmenopausal,triglyceride levels,tuberculosis,
ACTG1	actin gamma 1(ACTG1)	Homo sapiens	Dominant Progressive Deafness,
ACTR1B	actin related protein 1B(ACTR1B)	Homo sapiens	Stroke,
ARPC2	actin related protein 2/3 complex subunit 2(ARPC2)	Homo sapiens	Colitis, Ulcerative|,ulcerative colitis,
ACADVL	acyl-CoA dehydrogenase very long chain(ACADVL)	Homo sapiens	plasma HDL cholesterol (HDL-C) levels,
AP1G2	adaptor related protein complex 1 subunit gamma 2(AP1G2)	Homo sapiens	Death, Sudden, Cardiac,
AP2B1	adaptor related protein complex 2 subunit beta 1(AP2B1)	Homo sapiens	Platelet Count,
AP2M1	adaptor related protein complex 2 subunit mu 1(AP2M1)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,Kidney Failure, Chronic,
AP3B1	adaptor related protein complex 3 subunit beta 1(AP3B1)	Homo sapiens	Brain Ischemia|Cardiovascular Diseases|Coronary Disease|Stroke,Carotid Artery Diseases,Coronary Disease|Coronary heart disease|Myocardial Infarction,Melanoma|Skin Neoplasms,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,atherosclerosis, coronary lipoprotein,schizophrenia,
AP3S1	adaptor related protein complex 3 subunit sigma 1(AP3S1)	Homo sapiens	Tobacco Use Disorder,Type 2 diabetes,
ADD1	adducin 1(ADD1)	Homo sapiens	Acute Coronary Syndrome|,Albuminuria|Hypertension,Alcohol Drinking,Amyotrophic Lateral Sclerosis|,Blood Cells,Blood Pressure,Body Weights and Measures,Brain Ischemia|Hypertension|Osteoporosis|Stroke,Brain Ischemia|Hypertension|Stroke,Cardiovascular Disease,Cardiovascular Diseases|,Carotid Artery Diseases|Vascular Diseases,Cerebral Hemorrhage|Cerebral Hemorrhages|Cerebrovascular Disorders|Hypertension,Cerebral Palsy,Cerebral Palsy|,Coronary Artery Disease,Coronary Artery Disease|Hypertension,Coronary Artery Disease|Hypertension|Myocardial Infarction|Stroke,Coronary Disease|Hyperlipoproteinemia Type II,Diabetes Mellitus, Type 2,Diabetes Mellitus, Type 2|Hypertension,Echocardiography,Endolymphatic Hydrops|Meniere Disease,Essential Hypertension,Hypertension,Hypertension, Pregnancy-Induced|Pre-Eclampsia,Hypertension|Myocardial Infarction,Hypertension|Myocardial Ischemia,Hypotension,IgA nephropathy,Kidney Failure,Meningococcal Infections,Migraine Disorders,Peripheral Vascular Diseases,Recurrence|Venous Thromboembolism,Stroke,Type 2 Diabetes| edema | rosiglitazone,Type 2 diabetes,albuminuria hypertension,alcoholism; renal disease, end stage,angiotensinogen hypertension,arterial stiffness,atherosclerosis, generalized cardiovascular disease cerebrovascular disease myocardial infarct stroke, ischemic,blood pressure,blood pressure, arterial,blood pressure, arterial diuretic effects heart rate hypokalemia,blood pressure, arterial intima-media thickness,blood pressure, arterial; nitric oxide production; salt sensitivity,blood pressure; hyperlipidemia, familial combined,brain hemorrhage,cardiac death,cardiovascular disease,cardiovascular disease; bilirubin,carotid and femoral artery stiffness,carotid intima-media thickness,creatinine; protein excretion, urinary,diabetes, type 2,diabetes, type 2 hypertension intima-media thickness mortality,familial combined hyperlipidemia,gastroschisis,heart anomalies, congenital,hematology indices,hypertension,hypertension, salt sensitive,intima-media thickness,kidney disease,left ventricular mass; renin activity,myocardial infarct,myocardial infarct stroke,myocardial infarction; stroke,nephropathy,nephropathy in other diseases,normal variation,plasma HDL cholesterol (HDL-C) levels,polycystic kidney disease,preterm delivery,renal disease, end stage,renin activity; aldosterone,restenosis,sodium transport rate, erythrocyte,stroke,
ADK	adenosine kinase(ADK)	Homo sapiens	Alzheimer's disease   ,Cholesterol, LDL,Fatigue|Sleep Disorders|Sleep Initiation and Maintenance Disorders,Tobacco Use Disorder,Tooth Eruption,Type 2 Diabetes| edema | rosiglitazone,diabetes, type 1,
ADSL	adenylosuccinate lyase(ADSL)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,height,
ADGRE5	adhesion G protein-coupled receptor E5(ADGRE5)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,Type 2 Diabetes| edema | rosiglitazone,
AFTPH	aftiphilin(AFTPH)	Homo sapiens	Cholesterol,Cholesterol, LDL,Echocardiography,
MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A(MGAT4A)	Homo sapiens	Bipolar Disorder,Neoplasms,
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1(AIMP1)	Homo sapiens	Alcoholism,Blood Pressure,Blood Pressure Determination,Body Mass Index,Iron,Parkinson Disease,
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase(AASDHPPT)	Homo sapiens	Attention Deficit Disorder with Hyperactivity,Echocardiography,Heart Failure,Iron,Stroke,
ANKRD17	ankyrin repeat domain 17(ANKRD17)	Homo sapiens	Tobacco Use Disorder,
ANXA1	annexin A1(ANXA1)	Homo sapiens	Blood Pressure,Body Height,Body Mass Index,Cholesterol, HDL,Cholesterol, LDL,Creatinine,Erythrocytes,Glomerular Filtration Rate,Glucose,HIV-1,Heart Failure,Lipids,Pancreatic Neoplasms,Triglycerides,Type 2 Diabetes| edema | rosiglitazone,Waist Circumference,diabetes, type 2,
ANXA11	annexin A11(ANXA11)	Homo sapiens	Alzheimer's disease   ,Femur Head Necrosis|,Sarcoidosis,
ANXA5	annexin A5(ANXA5)	Homo sapiens	Cerebral Palsy,Cerebral Palsy|,Complication, Cardiovascular Pregnancy|Pregnancy Complications, Cardiovascular|Venous Thromboembolism,Diabetes Mellitus, Type 2,Femur Head Necrosis|,Hemorrhagic Disorders,Kidney Failure, Chronic,Myocardial Infarction,Pulmonary Disease, Chronic Obstructive,Tunica Media,Venous Thrombosis,annexin A5 antibodies,metabolic syndrome,myocardial infarct; cardiac death,preeclampsia,pregnancy complications,pregnancy loss,pregnancy loss, recurrent,
AATF	apoptosis antagonizing transcription factor(AATF)	Homo sapiens	breast cancer   ,kidney aging,obesity,
