ID	Gene Name	Species	DISGENET
IKZF1	IKAROS family zinc finger 1(IKZF1)	Homo sapiens	C0006413~Burkitt Lymphoma,C0009324~Ulcerative Colitis,C0009447~Common Variable Immunodeficiency,C0023449~Acute lymphocytic leukemia,C0023452~Childhood Acute Lymphoblastic Leukemia,C0023453~L2 Acute Lymphoblastic Leukemia,C0023485~Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,C0024141~Lupus Erythematosus, Systemic,C0024299~Lymphoma,C0038325~Stevens-Johnson Syndrome,C0079744~Diffuse Large B-Cell Lymphoma,C0242380~Libman-Sacks Disease,C0751606~Adult Acute Lymphocytic Leukemia,C1292769~Precursor B-cell lymphoblastic leukemia,C1846546~Recurrent sinopulmonary infections,C1961102~Precursor Cell Lymphoblastic Leukemia Lymphoma,C2930967~Gastro-enteropancreatic neuroendocrine tumor,C2936664~Acquired Hypogammaglobulinemia,C2936665~Immunoglobulin Deficiency, Late-Onset,C4225173~IMMUNODEFICIENCY, COMMON VARIABLE, 13,
ITK	IL2 inducible T cell kinase(ITK)	Homo sapiens	C0019829~Hodgkin Disease,C0278701~Gastric Adenocarcinoma,C0278883~Metastatic melanoma,C0494261~Combined immunodeficiency,C2751686~Lymphoproliferative Syndrome, Ebv-Associated, Autosomal, 1,C3552634~LYMPHOPROLIFERATIVE SYNDROME 1,C4283841~ITK Deficiency,
IQGAP1	IQ motif containing GTPase activating protein 1(IQGAP1)	Homo sapiens	C0006118~Brain Neoplasms,C0023893~Liver Cirrhosis, Experimental,C0043094~Weight Gain,C0153633~Malignant neoplasm of brain,C0496899~Benign neoplasm of brain, unspecified,C0750974~Brain Tumor, Primary,C0750977~Recurrent Brain Neoplasm,C0750979~Primary malignant neoplasm of brain,C1527390~Neoplasms, Intracranial,C2239176~Liver carcinoma,
JAK1	Janus kinase 1(JAK1)	Homo sapiens	C0023467~Leukemia, Myelocytic, Acute,C0032463~Polycythemia Vera,C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,C1540912~Hypereosinophilic syndrome,C1961102~Precursor Cell Lymphoblastic Leukemia Lymphoma,
LBH	LBH regulator of WNT signaling pathway(LBH)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
LASP1	LIM and SH3 protein 1(LASP1)	Homo sapiens	C0004352~Autistic Disorder,C0014170~Endometrial Neoplasms,C0036341~Schizophrenia,C0476089~Endometrial Carcinoma,
LIMD2	LIM domain containing 2(LIMD2)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0027643~Neoplasm Recurrence, Local,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
MLX	MAX dimerization protein MLX(MLX)	Homo sapiens	C0039263~Takayasu Arteritis,
MIR4435-2HG	MIR4435-2 host gene(MIR4435-2HG)	Homo sapiens	C0024121~Lung Neoplasms,C0242379~Malignant neoplasm of lung,
MLLT3	MLLT3 super elongation complex subunit(MLLT3)	Homo sapiens	C0005586~Bipolar Disorder,
MSL3	MSL complex subunit 3(MSL3)	Homo sapiens	C0008073~Developmental Disabilities,C0026827~Muscle hypotonia,C0085996~Child Development Deviations,C0085997~Child Development Disorders, Specific,C0231686~Gait, Unsteady,C0231687~Spastic gait,C0231688~Gait, Shuffling,C0231689~Gait, Athetotic,C0231693~Charcot Gait,C0231694~Gait, Festinating,C0231695~Cerebellar ataxic gait,C0231696~Gait, Hemiplegic,C0231698~Gait, Scissors,C0231712~Waddling gait,C0232466~Feeding difficulties,C0234996~Gait, Rigid,C0235000~Gait, Broadened,C0282631~Facies,C0337210~Gait, Stumbling,C0376634~Craniofacial Abnormalities,C0427128~Rapid Fatigue of Gait,C0427149~Gait, Drop Foot,C0427169~Marche a Petit Pas,C0427177~Gait, Hysterical,C0751829~Gait Disorder, Sensorimotor,C0751830~Gait Disorders, Neurologic,C0751831~Gait, Frontal,C0751832~Gait, Widebased,C3714756~Intellectual Disability,C4022738~Neurodevelopmental delay,
MAZ	MYC associated zinc finger protein(MAZ)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,
NDRG1	N-myc downstream regulated 1(NDRG1)	Homo sapiens	C0004114~Astrocytoma,C0006142~Malignant neoplasm of breast,C0007131~Non-Small Cell Lung Carcinoma,C0007134~Renal Cell Carcinoma,C0017636~Glioblastoma,C0022665~Kidney Neoplasm,C0023893~Liver Cirrhosis, Experimental,C0023903~Liver neoplasms,C0025202~melanoma,C0026640~Mouth Neoplasms,C0027627~Neoplasm Metastasis,C0029295~Oropharyngeal Neoplasms,C0033578~Prostatic Neoplasms,C0149925~Small cell carcinoma of lung,C0153381~Malignant neoplasm of mouth,C0205768~Subependymal Giant Cell Astrocytoma,C0206658~Smooth Muscle Tumor,C0206734~Hemangioblastoma,C0279702~Conventional (Clear Cell) Renal Cell Carcinoma,C0280783~Juvenile Pilocytic Astrocytoma,C0280785~Diffuse Astrocytoma,C0334579~Anaplastic astrocytoma,C0334580~Protoplasmic astrocytoma,C0334581~Gemistocytic astrocytoma,C0334582~Fibrillary Astrocytoma,C0334583~Pilocytic Astrocytoma,C0334588~Giant Cell Glioblastoma,C0338070~Childhood Cerebral Astrocytoma,C0345904~Malignant neoplasm of liver,C0376358~Malignant neoplasm of prostate,C0547065~Mixed oligoastrocytoma,C0678222~Breast Carcinoma,C0740457~Malignant neoplasm of kidney,C0750935~Cerebral Astrocytoma,C0750936~Intracranial Astrocytoma,C0751692~Multiple Hemangioblastomas,C0887833~Carcinoma, Pancreatic Ductal,C1168401~Squamous cell carcinoma of the head and neck,C1257931~Mammary Neoplasms, Human,C1266042~Chromophobe Renal Cell Carcinoma,C1266043~Sarcomatoid Renal Cell Carcinoma,C1266044~Collecting Duct Carcinoma of the Kidney,C1306837~Papillary Renal Cell Carcinoma,C1458155~Mammary Neoplasms,C1621958~Glioblastoma Multiforme,C1704230~Grade I Astrocytoma,C1832334~CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D,C2349952~Oropharyngeal Carcinoma,C4704874~Mammary Carcinoma, Human,
NDUFA11	NADH:ubiquinone oxidoreductase subunit A11(NDUFA11)	Homo sapiens	C0751651~Mitochondrial Diseases,C1838979~MITOCHONDRIAL COMPLEX I DEFICIENCY,C4748777~MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 14,
NDUFA2	NADH:ubiquinone oxidoreductase subunit A2(NDUFA2)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0023264~Leigh Disease,C0024623~Malignant neoplasm of stomach,C0038356~Stomach Neoplasms,C0235874~Disease Exacerbation,C0751651~Mitochondrial Diseases,C1708349~Hereditary Diffuse Gastric Cancer,C1838951~LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY,C1850597~Leigh Syndrome Due To Mitochondrial Complex II Deficiency,C1850598~Leigh Syndrome due to Mitochondrial Complex III Deficiency,C1850599~Leigh Syndrome due to Mitochondrial Complex IV Deficiency,C1850600~Leigh Syndrome due to Mitochondrial Complex V Deficiency,C2751843~Leukoencephalopathy, Cystic, Without Megalencephaly,C2931891~Necrotizing encephalopathy, infantile subacute, of Leigh,C4748770~MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 13,
NCK1	NCK adaptor protein 1(NCK1)	Homo sapiens	C0001925~Albuminuria,C0027726~Nephrotic Syndrome,C0033687~Proteinuria,
NFKBIA	NFKB inhibitor alpha(NFKBIA)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0007786~Brain Ischemia,C0019829~Hodgkin Disease,C0023893~Liver Cirrhosis, Experimental,C0030246~Pustulosis of Palms and Soles,C0030297~Pancreatic Neoplasm,C0033860~Psoriasis,C0151744~Myocardial Ischemia,C0152266~Mixed Cellularity Hodgkin Lymphoma,C0152267~Hodgkin lymphoma, lymphocyte depletion,C0153392~Malignant neoplasm of nasopharynx,C0206726~gliosarcoma,C0220597~Adult Hodgkin Lymphoma,C0238301~Cancer of Nasopharynx,C0334588~Giant Cell Glioblastoma,C0346647~Malignant neoplasm of pancreas,C0678222~Breast Carcinoma,C0917798~Cerebral Ischemia,C1257931~Mammary Neoplasms, Human,C1266194~Lymphocyte Rich Classical Hodgkin Lymphoma,C1334968~Nodular Lymphocyte Predominant Hodgkin Lymphoma,C1458155~Mammary Neoplasms,C1846006~Ectodermal dysplasia, hypohidrotic, with immune deficiency,C2239176~Liver carcinoma,C2677481~Ectodermal Dysplasia, Anhidrotic, With T-Cell Immunodeficiency, Autosomal Dominant,C2931822~Nasopharyngeal carcinoma,C4704874~Mammary Carcinoma, Human,
NFU1	NFU1 iron-sulfur cluster scaffold(NFU1)	Homo sapiens	C3276432~MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 1,C3502075~Multiple Mitochondrial Dysfunctions Syndrome,
NOP56	NOP56 ribonucleoprotein(NOP56)	Homo sapiens	C0024623~Malignant neoplasm of stomach,C0038356~Stomach Neoplasms,C0087012~Ataxia, Spinocerebellar,C0152013~Adenocarcinoma of lung (disorder),C0235874~Disease Exacerbation,C0752120~Spinocerebellar Ataxia Type 1,C0752121~Spinocerebellar Ataxia Type 2,C0752122~Spinocerebellar Ataxia Type 4,C0752123~Spinocerebellar Ataxia Type 5,C0752124~Spinocerebellar Ataxia Type 6 (disorder),C0752125~Spinocerebellar Ataxia Type 7,C1708349~Hereditary Diffuse Gastric Cancer,C3472711~Spinocerebellar ataxia 36,
NOP58	NOP58 ribonucleoprotein(NOP58)	Homo sapiens	C0152013~Adenocarcinoma of lung (disorder),
NSMCE3	NSE3 homolog, SMC5-SMC6 complex component(NSMCE3)	Homo sapiens	C4310653~LUNG DISEASE, IMMUNODEFICIENCY, AND CHROMOSOME BREAKAGE SYNDROME,
OFD1	OFD1 centriole and centriolar satellite protein(OFD1)	Homo sapiens	C0015397~Disorder of eye,C0022521~Kartagener Syndrome,C0029294~Orofaciodigital Syndromes,C0035334~Retinitis Pigmentosa,C0152427~Polydactyly,C0265251~Oto-Palato-digital syndrome type 1,C1419610~RP23 gene,C1510460~Orofaciodigital Syndrome I,C1846175~SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 2 (disorder),C2749019~JOUBERT SYNDROME 10 (disorder),C2931426~Orofaciodigital syndrome type1,C4277690~Ciliopathies,C4317124~Polynesian Bronchiectasis,C4551720~Primary Ciliary Dyskinesia,C4551906~Ciliary Dyskinesia, Primary, 1, With Or Without Situs Inversus,
OLA1	Obg like ATPase 1(OLA1)	Homo sapiens	C0006142~Malignant neoplasm of breast,
PBX4	PBX homeobox 4(PBX4)	Homo sapiens	C0009402~Colorectal Carcinoma,C0376634~Craniofacial Abnormalities,
PSIP1	PC4 and SRSF1 interacting protein 1(PSIP1)	Homo sapiens	C0023467~Leukemia, Myelocytic, Acute,C0026998~Acute Myeloid Leukemia, M1,C1879321~Acute Myeloid Leukemia (AML-M2),
PDAP1	PDGFA associated protein 1(PDAP1)	Homo sapiens	C0035334~Retinitis Pigmentosa,
PML	PML nuclear body scaffold(PML)	Homo sapiens	C0014518~Toxic Epidermal Necrolysis,C0017636~Glioblastoma,C0019207~Hepatoma, Morris,C0019208~Hepatoma, Novikoff,C0023487~Acute Promyelocytic Leukemia,C0023904~Liver Neoplasms, Experimental,C0027627~Neoplasm Metastasis,C0029401~Osteitis Deformans,C0033578~Prostatic Neoplasms,C0036341~Schizophrenia,C0038325~Stevens-Johnson Syndrome,C0085183~Neoplasms, Second Primary,C0086404~Experimental Hepatoma,C0086696~Neoplasms, Therapy-Associated,C0334588~Giant Cell Glioblastoma,C0376358~Malignant neoplasm of prostate,C0877578~Treatment related secondary malignancy,C1274933~Drug-Induced Stevens Johnson Syndrome,C1621958~Glioblastoma Multiforme,C3658301~Mycoplasma-Induced Stevens-Johnson Syndrome,C3658302~Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum,
RAB11A	RAB11A, member RAS oncogene family(RAB11A)	Homo sapiens	C0263454~Chloracne,C0557874~Global developmental delay,C3714756~Intellectual Disability,
RAB2A	RAB2A, member RAS oncogene family(RAB2A)	Homo sapiens	C0032460~Polycystic Ovary Syndrome,C1136382~Sclerocystic Ovaries,
RAB5C	RAB5C, member RAS oncogene family(RAB5C)	Homo sapiens	C0009402~Colorectal Carcinoma,
RAB7A	RAB7A, member RAS oncogene family(RAB7A)	Homo sapiens	C0151744~Myocardial Ischemia,C1833219~CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B (disorder),
RAP1A	RAP1A, member of RAS oncogene family(RAP1A)	Homo sapiens	C0796004~Kabuki make-up syndrome,
RAP1B	RAP1B, member of RAS oncogene family(RAP1B)	Homo sapiens	C0796004~Kabuki make-up syndrome,
RASGRP1	RAS guanyl releasing protein 1(RASGRP1)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0005586~Bipolar Disorder,C0014175~Endometriosis,C0021051~Immunologic Deficiency Syndromes,C0023467~Leukemia, Myelocytic, Acute,C0024141~Lupus Erythematosus, Systemic,C0026998~Acute Myeloid Leukemia, M1,C0242380~Libman-Sacks Disease,C0269102~Endometrioma,C1328840~Autoimmune Lymphoproliferative Syndrome,C1879321~Acute Myeloid Leukemia (AML-M2),
RASA2	RAS p21 protein activator 2(RASA2)	Homo sapiens	C0025202~melanoma,C0028326~Noonan Syndrome,C0175704~LEOPARD Syndrome,C0587248~Costello syndrome (disorder),C1275081~Cardio-facio-cutaneous syndrome,C1843181~Noonan syndrome-like disorder with loose anagen hair,C3501846~Noonan-Like Syndrome With Loose Anagen Hair,
RBBP8	RB binding protein 8, endonuclease(RBBP8)	Homo sapiens	C0030297~Pancreatic Neoplasm,C0235974~Pancreatic carcinoma,C0265202~Seckel syndrome,C0346647~Malignant neoplasm of pancreas,C0347284~Benign tumor of pancreas,C0431350~Primary microcephaly,C0796063~microcephaly-digital anomalies syndrome,C1847572~SECKEL SYNDROME 2,
RB1CC1	RB1 inducible coiled-coil 1(RB1CC1)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0036341~Schizophrenia,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
REL	REL proto-oncogene, NF-kB subunit(REL)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0019829~Hodgkin Disease,C0025261~Memory Disorders,C0030246~Pustulosis of Palms and Soles,C0033860~Psoriasis,C0152266~Mixed Cellularity Hodgkin Lymphoma,C0152267~Hodgkin lymphoma, lymphocyte depletion,C0220597~Adult Hodgkin Lymphoma,C0233794~Memory impairment,C0751292~Age-Related Memory Disorders,C0751293~Memory Disorder, Semantic,C0751294~Memory Disorder, Spatial,C0751295~Memory Loss,C1266194~Lymphocyte Rich Classical Hodgkin Lymphoma,C1334968~Nodular Lymphocyte Predominant Hodgkin Lymphoma,
RELB	RELB proto-oncogene, NF-kB subunit(RELB)	Homo sapiens	C0239998~Recurrent infections,C4539811~IMMUNODEFICIENCY 53,
RBM17	RNA binding motif protein 17(RBM17)	Homo sapiens	C0087012~Ataxia, Spinocerebellar,C0752120~Spinocerebellar Ataxia Type 1,C0752121~Spinocerebellar Ataxia Type 2,C0752122~Spinocerebellar Ataxia Type 4,C0752123~Spinocerebellar Ataxia Type 5,C0752124~Spinocerebellar Ataxia Type 6 (disorder),C0752125~Spinocerebellar Ataxia Type 7,
RBMX	RNA binding motif protein X-linked(RBMX)	Homo sapiens	C1846145~MENTAL RETARDATION, X-LINKED, SYNDROMIC 11,
RNPS1	RNA binding protein with serine rich domain 1(RNPS1)	Homo sapiens	C0525045~Mood Disorders,
RAC1	Rac family small GTPase 1(RAC1)	Homo sapiens	C0007193~Cardiomyopathy, Dilated,C0007621~Neoplastic Cell Transformation,C0011570~Mental Depression,C0011581~Depressive disorder,C0011849~Diabetes Mellitus,C0018801~Heart failure,C0018802~Congestive heart failure,C0023212~Left-Sided Heart Failure,C0023895~Liver diseases,C0025202~melanoma,C0027627~Neoplasm Metastasis,C0086565~Liver Dysfunction,C0151779~Cutaneous Melanoma,C0235527~Heart Failure, Right-Sided,C0242698~Ventricular Dysfunction, Left,C0280100~Solid Neoplasm,C0424605~Developmental delay (disorder),C0557874~Global developmental delay,C0876994~Cardiotoxicity,C1449563~Cardiomyopathy, Familial Idiopathic,C1959583~Myocardial Failure,C1961112~Heart Decompensation,C2239176~Liver carcinoma,C3714756~Intellectual Disability,C4540321~MENTAL RETARDATION, AUTOSOMAL DOMINANT 48,
RALGAPA1	Ral GTPase activating protein catalytic subunit alpha 1(RALGAPA1)	Homo sapiens	C0026827~Muscle hypotonia,C3714756~Intellectual Disability,
RANGAP1	Ran GTPase activating protein 1(RANGAP1)	Homo sapiens	C0079744~Diffuse Large B-Cell Lymphoma,
RSU1	Ras suppressor protein 1(RSU1)	Homo sapiens	C0001787~Osteoporosis, Age-Related,C0029456~Osteoporosis,C0029459~Osteoporosis, Senile,C0263454~Chloracne,C0751406~Post-Traumatic Osteoporosis,
ARHGDIA	Rho GDP dissociation inhibitor alpha(ARHGDIA)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0019693~HIV Infections,C0022548~Keloid,C0027627~Neoplasm Metastasis,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1868672~NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE,C3808874~ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 2,C3808953~NEPHROTIC SYNDROME, TYPE 8,C4505456~HIV Coinfection,C4704874~Mammary Carcinoma, Human,
ARHGDIB	Rho GDP dissociation inhibitor beta(ARHGDIB)	Homo sapiens	C0019693~HIV Infections,C0023893~Liver Cirrhosis, Experimental,C0948089~Acute Coronary Syndrome,C4505456~HIV Coinfection,
ARHGAP4	Rho GTPase activating protein 4(ARHGAP4)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,
S100A10	S100 calcium binding protein A10(S100A10)	Homo sapiens	C0005586~Bipolar Disorder,C0011570~Mental Depression,C0011573~Endogenous depression,C0011581~Depressive disorder,C0022548~Keloid,C0023467~Leukemia, Myelocytic, Acute,C0023893~Liver Cirrhosis, Experimental,C0024517~Major depression, single episode,C0025149~Medulloblastoma,C0025193~Melancholia,C0026998~Acute Myeloid Leukemia, M1,C0041696~Unipolar Depression,C0086133~Depressive Syndrome,C0205833~Medullomyoblastoma,C0278510~Childhood Medulloblastoma,C0278876~Adult Medulloblastoma,C0282126~Depression, Neurotic,C0344315~Depressed mood,C0349217~Depressive episode, unspecified,C0525045~Mood Disorders,C0751291~Desmoplastic Medulloblastoma,C1269683~Major Depressive Disorder,C1275668~Melanotic medulloblastoma,C1879321~Acute Myeloid Leukemia (AML-M2),
S100A11	S100 calcium binding protein A11(S100A11)	Homo sapiens	C0019193~Hepatitis, Toxic,C0023893~Liver Cirrhosis, Experimental,C0027626~Neoplasm Invasiveness,C0860207~Drug-Induced Liver Disease,C1262760~Hepatitis, Drug-Induced,C3658290~Drug-Induced Acute Liver Injury,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,
S100A4	S100 calcium binding protein A4(S100A4)	Homo sapiens	C0007102~Malignant tumor of colon,C0009375~Colonic Neoplasms,C0022116~Ischemia,C0022548~Keloid,C0025149~Medulloblastoma,C0025202~melanoma,C0027626~Neoplasm Invasiveness,C0027627~Neoplasm Metastasis,C0027719~Nephrosclerosis,C0029408~Degenerative polyarthritis,C0035222~Respiratory Distress Syndrome, Adult,C0086743~Osteoarthrosis Deformans,C0205833~Medullomyoblastoma,C0265110~Cerebral Vasospasm,C0278510~Childhood Medulloblastoma,C0278876~Adult Medulloblastoma,C0751291~Desmoplastic Medulloblastoma,C0751895~Vasospasm, Intracranial,C1275668~Melanotic medulloblastoma,
SATB1	SATB homeobox 1(SATB1)	Homo sapiens	C0152013~Adenocarcinoma of lung (disorder),
SETD2	SET domain containing 2, histone lysine methyltransferase(SETD2)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0006826~Malignant Neoplasms,C0007134~Renal Cell Carcinoma,C0010606~Adenoid Cystic Carcinoma,C0010701~Phyllodes Tumor,C0023418~leukemia,C0023467~Leukemia, Myelocytic, Acute,C0033578~Prostatic Neoplasms,C0175695~Sotos' syndrome,C0206656~Embryonal Rhabdomyosarcoma,C0279702~Conventional (Clear Cell) Renal Cell Carcinoma,C0345967~Malignant mesothelioma,C0376358~Malignant neoplasm of prostate,C0600066~Malignant Cystosarcoma Phyllodes,C0678222~Breast Carcinoma,C0920269~Microsatellite Instability,C1257931~Mammary Neoplasms, Human,C1266042~Chromophobe Renal Cell Carcinoma,C1266043~Sarcomatoid Renal Cell Carcinoma,C1266044~Collecting Duct Carcinoma of the Kidney,C1306837~Papillary Renal Cell Carcinoma,C1458155~Mammary Neoplasms,C1535926~Neurodevelopmental Disorders,C1721098~Replication Error Phenotype,C1961102~Precursor Cell Lymphoblastic Leukemia Lymphoma,C3714756~Intellectual Disability,C4085873~LUSCAN-LUMISH SYNDROME,C4704874~Mammary Carcinoma, Human,
SIVA1	SIVA1 apoptosis inducing factor(SIVA1)	Homo sapiens	C0010246~Coxsackievirus Infections,
SKIL	SKI like proto-oncogene(SKIL)	Homo sapiens	C0034069~Pulmonary Fibrosis,C0037274~Dermatologic disorders,C0274861~Arsenic Poisoning, Inorganic,C0274862~Nervous System, Organic Arsenic Poisoning,C0311375~Arsenic Poisoning,C0751851~Arsenic Encephalopathy,C0751852~Arsenic Induced Polyneuropathy,C2931434~Paraquat lung,C4721507~Alveolitis, Fibrosing,
SMAD2	SMAD family member 2(SMAD2)	Homo sapiens	C0009402~Colorectal Carcinoma,C0019189~Hepatitis, Chronic,C0023893~Liver Cirrhosis, Experimental,C0149519~Chronic Persistent Hepatitis,C0152021~Congenital heart disease,C0265287~Acromicric Dysplasia,C0376634~Craniofacial Abnormalities,C0520463~Chronic active hepatitis,C0524611~Cryptogenic Chronic Hepatitis,C0600519~Ventricular Remodeling,C0600520~Left Ventricle Remodeling,C1876165~Copper-Overload Cirrhosis,C2697932~Loeys-Dietz Syndrome,C3489726~Geleophysic dysplasia,C4707243~Familial thoracic aortic aneurysm and aortic dissection,
SNRK	SNF related kinase(SNRK)	Homo sapiens	C1335167~Ovarian Mucinous Adenocarcinoma,C1335177~Ovarian Serous Adenocarcinoma,
SPG21	SPG21 abhydrolase domain containing, maspardin(SPG21)	Homo sapiens	C0001973~Alcoholic Intoxication, Chronic,C0598589~Inherited neuropathies,C1855346~MAST SYNDROME,
SPG7	SPG7 matrix AAA peptidase subunit, paraplegin(SPG7)	Homo sapiens	C0030486~Paraplegia,C0037772~Spastic Paraplegia,C0154682~Lateral Sclerosis,C0242036~Paraplegia, Ataxic,C0278114~Paraplegia, Cerebral,C0278115~Paraplegia, Spinal,C0452143~Paraplegia, Flaccid,C0598589~Inherited neuropathies,C1846564~SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIVE,C1968845~Primary Lateral Sclerosis, Adult, 1,C3711370~Spastic Paraplegia Type 7,
SENP6	SUMO specific peptidase 6(SENP6)	Homo sapiens	C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5(SMARCA5)	Homo sapiens	C0279980~Extra-osseous Ewing's sarcoma,
STARD7	StAR related lipid transfer domain containing 7(STARD7)	Homo sapiens	C1842852~EPILEPSY, MYOCLONIC, BENIGN ADULT FAMILIAL, TYPE 2,
TBK1	TANK binding kinase 1(TBK1)	Homo sapiens	C0002736~Amyotrophic Lateral Sclerosis,C0019385~Herpetic meningoencephalitis,C0276226~Herpes encephalitis,C0751072~Frontotemporal Lobar Degeneration,C1319315~Adenocarcinoma of large intestine,C3888102~Frontotemporal Dementia With Motor Neuron Disease,C4225325~FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 4,C4693542~ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 8,
TAOK3	TAO kinase 3(TAOK3)	Homo sapiens	C0149925~Small cell carcinoma of lung,C0152013~Adenocarcinoma of lung (disorder),
TBC1D4	TBC1 domain family member 4(TBC1D4)	Homo sapiens	C3495676~Anorectal Malformations,C4015183~DIABETES MELLITUS, NONINSULIN-DEPENDENT, 5,
TIPARP	TCDD inducible poly(ADP-ribose) polymerase(TIPARP)	Homo sapiens	C0001973~Alcoholic Intoxication, Chronic,C0919267~ovarian neoplasm,C1140680~Malignant neoplasm of ovary,
TGIF1	TGFB induced factor homeobox 1(TGIF1)	Homo sapiens	C0027626~Neoplasm Invasiveness,C0027627~Neoplasm Metastasis,C0078982~Arhinencephaly,C0079541~Holoprosencephaly,C0431362~Lobar Holoprosencephaly,C0431363~Alobar Holoprosencephaly,C0751617~Semilobar Holoprosencephaly,C1840528~HOLOPROSENCEPHALY 4 (disorder),C1864827~HOLOPROSENCEPHALY 5,
TIMP1	TIMP metallopeptidase inhibitor 1(TIMP1)	Homo sapiens	C0002152~Alloxan Diabetes,C0003504~Aortic Valve Insufficiency,C0004364~Autoimmune Diseases,C0005398~Cholestasis, Extrahepatic,C0006663~Calcinosis,C0008311~Cholangitis,C0011853~Diabetes Mellitus, Experimental,C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0017661~IGA Glomerulonephritis,C0018799~Heart Diseases,C0018824~Heart valve disease,C0019202~Hepatolenticular Degeneration,C0020538~Hypertensive disease,C0021368~Inflammation,C0023891~Liver Cirrhosis, Alcoholic,C0023893~Liver Cirrhosis, Experimental,C0027626~Neoplasm Invasiveness,C0029172~Oral Submucous Fibrosis,C0034069~Pulmonary Fibrosis,C0035222~Respiratory Distress Syndrome, Adult,C0038433~Streptozotocin Diabetes,C0042345~Varicosity,C0042373~Vascular Diseases,C0263628~Tumoral calcinosis,C0521174~Microcalcification,C1527352~Hepatic Form of Wilson Disease,C1720887~Female Urogenital Diseases,C4721507~Alveolitis, Fibrosing,
TRAF1	TNF receptor associated factor 1(TRAF1)	Homo sapiens	C0000786~Spontaneous abortion,C0000822~Abortion, Tubal,C0003873~Rheumatoid Arthritis,C0013274~Patent ductus arteriosus,C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,C2936170~Patent Ductus Arteriosus Familial,C3830362~Early Pregnancy Loss,C4552766~Miscarriage,
TRAF3	TNF receptor associated factor 3(TRAF3)	Homo sapiens	C0001338~Herpetic Acute Necrotizing Encephalitis,C0019385~Herpetic meningoencephalitis,C0276226~Herpes encephalitis,C3553868~ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 5,
TNFRSF14	TNF receptor superfamily member 14(TNFRSF14)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0007570~Celiac Disease,C0024301~Lymphoma, Follicular,
