source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:CC	GO:0030055	cell-substrate junction	1.4761995966751957e-09	True	"""A cell junction that forms a connection between a cell and the extracellular matrix."" [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]"	432	358	31	22097	0.08659217877094973	0.07175925925925926	query_1	['GO:0070161']
GO:BP	GO:0070663	regulation of leukocyte proliferation	1.5560103581355105e-09	True	"""Any process that modulates the frequency, rate or extent of leukocyte proliferation."" [GOC:add, GOC:mah]"	266	355	26	21031	0.07323943661971831	0.09774436090225563	query_1	['GO:0042127', 'GO:0070661']
GO:BP	GO:0032496	response to lipopolysaccharide	1.6638047321647647e-09	True	"""Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria."" [GOC:add, ISBN:0721601464]"	336	355	29	21031	0.08169014084507042	0.08630952380952381	query_1	['GO:0002237', 'GO:0033993', 'GO:1901700']
GO:BP	GO:0002449	lymphocyte mediated immunity	1.7506811834403501e-09	True	"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	361	355	30	21031	0.08450704225352113	0.08310249307479224	query_1	['GO:0002443']
GO:CC	GO:0009986	cell surface	1.81741927835454e-09	True	"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]"	903	358	46	22097	0.12849162011173185	0.05094130675526024	query_1	['GO:0110165']
GO:BP	GO:0002757	immune response-activating signaling pathway	1.886938249401293e-09	True	"""The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response."" [GOC:add]"	465	355	34	21031	0.09577464788732394	0.07311827956989247	query_1	['GO:0002253', 'GO:0002764']
GO:BP	GO:0032943	mononuclear cell proliferation	2.054090116319991e-09	True	"""The expansion of a mononuclear cell population by cell division. A mononuclear cell is a leukocyte with a single non-segmented nucleus in the mature form."" [GOC:add]"	315	355	28	21031	0.07887323943661972	0.08888888888888889	query_1	['GO:0070661']
GO:BP	GO:0097190	apoptotic signaling pathway	2.1206884075377784e-09	True	"""The series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis]"	607	355	39	21031	0.10985915492957747	0.0642504118616145	query_1	['GO:0006915', 'GO:0007165']
GO:MF	GO:0019900	kinase binding	2.23262107131033e-09	True	"""Binding to a kinase, any enzyme that catalyzes the transfer of a phosphate group."" [GOC:jl]"	790	358	45	20212	0.12569832402234637	0.056962025316455694	query_1	['GO:0019899']
GO:BP	GO:0042592	homeostatic process	2.337490594992443e-09	True	"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]"	1712	355	71	21031	0.2	0.04147196261682243	query_1	['GO:0008150']
GO:BP	GO:0030154	cell differentiation	3.1171962942624437e-09	True	"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]"	4366	355	131	21031	0.36901408450704226	0.03000458085203848	query_1	['GO:0048869']
GO:BP	GO:0048869	cellular developmental process	3.171110215987981e-09	True	"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]"	4367	355	131	21031	0.36901408450704226	0.029997710098465767	query_1	['GO:0009987', 'GO:0032502']
GO:BP	GO:1902531	regulation of intracellular signal transduction	3.539833901798823e-09	True	"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	1766	355	72	21031	0.2028169014084507	0.04077010192525481	query_1	['GO:0009966', 'GO:0035556']
GO:BP	GO:0050851	antigen receptor-mediated signaling pathway	3.616913233774896e-09	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."" [GOC:add]"	191	355	22	21031	0.061971830985915494	0.11518324607329843	query_1	['GO:0002429']
GO:BP	GO:0035710	CD4-positive, alpha-beta T cell activation	3.768753691569133e-09	True	"""The change in morphology and behavior of a CD4-positive, alpha-beta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [CL:0000624, GOC:BHF]"	119	355	18	21031	0.05070422535211268	0.15126050420168066	query_1	['GO:0046631']
GO:CC	GO:0005773	vacuole	3.929920868652315e-09	True	"""A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."" [GOC:mtg_sensu, ISBN:0198506732]"	855	358	44	22097	0.12290502793296089	0.05146198830409357	query_1	['GO:0005737', 'GO:0043231']
GO:CC	GO:0099503	secretory vesicle	4.4573675095129546e-09	True	"""A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space."" [GOC:dos]"	1069	358	50	22097	0.13966480446927373	0.04677268475210477	query_1	['GO:0031410']
GO:BP	GO:0032663	regulation of interleukin-2 production	4.9800284868862505e-09	True	"""Any process that modulates the frequency, rate, or extent of interleukin-2 production."" [GOC:mah]"	63	355	14	21031	0.03943661971830986	0.2222222222222222	query_1	['GO:0001817', 'GO:0032623']
GO:BP	GO:0032623	interleukin-2 production	4.9800284868862505e-09	True	"""The appearance of interleukin-2 due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:mah]"	63	355	14	21031	0.03943661971830986	0.2222222222222222	query_1	['GO:0001816']
GO:BP	GO:0050852	T cell receptor signaling pathway	5.066270947091881e-09	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell."" [GOC:add]"	138	355	19	21031	0.05352112676056338	0.13768115942028986	query_1	['GO:0050851']
GO:CC	GO:0000323	lytic vacuole	5.290754629836818e-09	True	"""A vacuole that is maintained at an acidic pH and which contains degradative enzymes, including a wide variety of acid hydrolases."" [GOC:krc]"	762	358	41	22097	0.11452513966480447	0.05380577427821522	query_1	['GO:0005773']
GO:CC	GO:0005764	lysosome	5.290754629836818e-09	True	"""A small lytic vacuole that has cell cycle-independent morphology found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions."" [GOC:mah, ISBN:0198506732]"	762	358	41	22097	0.11452513966480447	0.05380577427821522	query_1	['GO:0000323']
GO:BP	GO:0002697	regulation of immune effector process	5.690739804336591e-09	True	"""Any process that modulates the frequency, rate, or extent of an immune effector process."" [GOC:add]"	378	355	30	21031	0.08450704225352113	0.07936507936507936	query_1	['GO:0002252', 'GO:0002682']
GO:BP	GO:0050670	regulation of lymphocyte proliferation	5.741725877335e-09	True	"""Any process that modulates the frequency, rate or extent of lymphocyte proliferation."" [GOC:ai]"	237	355	24	21031	0.0676056338028169	0.10126582278481013	query_1	['GO:0032944', 'GO:0046651', 'GO:0051249']
GO:BP	GO:0002237	response to molecule of bacterial origin	6.129759136705382e-09	True	"""Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."" [GOC:rl, GOC:sm]"	354	355	29	21031	0.08169014084507042	0.08192090395480225	query_1	['GO:0009617', 'GO:0010033', 'GO:0043207']
GO:BP	GO:0051049	regulation of transport	6.427577911362471e-09	True	"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1594	355	67	21031	0.18873239436619718	0.04203262233375157	query_1	['GO:0006810', 'GO:0032879']
GO:CC	GO:0005654	nucleoplasm	7.015772427630713e-09	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	4220	358	121	22097	0.33798882681564246	0.028672985781990522	query_1	['GO:0031981', 'GO:0110165']
GO:BP	GO:0032944	regulation of mononuclear cell proliferation	8.239511450024806e-09	True	"""Any process that modulates the frequency, rate or extent of mononuclear cell proliferation."" [GOC:add]"	241	355	24	21031	0.0676056338028169	0.0995850622406639	query_1	['GO:0032943', 'GO:0070663']
GO:BP	GO:0046632	alpha-beta T cell differentiation	8.923230953924006e-09	True	"""The process in which a precursor cell type acquires the specialized features of an alpha-beta T cell. An alpha-beta T cell is a T cell that expresses an alpha-beta T cell receptor complex."" [CL:0000789, GOC:ai]"	125	355	18	21031	0.05070422535211268	0.144	query_1	['GO:0030217', 'GO:0046631']
GO:BP	GO:0040011	locomotion	9.147972671388023e-09	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1234	355	57	21031	0.16056338028169015	0.046191247974068074	query_1	['GO:0008150']
GO:BP	GO:0002764	immune response-regulating signaling pathway	9.150209966524659e-09	True	"""The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to the activation, perpetuation, or inhibition of an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	492	355	34	21031	0.09577464788732394	0.06910569105691057	query_1	['GO:0007165', 'GO:0050776']
GO:CC	GO:0043231	intracellular membrane-bounded organelle	1.287898873824514e-08	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	14605	358	292	22097	0.8156424581005587	0.01999315302978432	query_1	['GO:0043227', 'GO:0043229']
GO:CC	GO:0071944	cell periphery	1.862905683722324e-08	True	"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	6228	358	158	22097	0.441340782122905	0.025369299935773925	query_1	['GO:0110165']
GO:BP	GO:1902107	positive regulation of leukocyte differentiation	1.9239891908853174e-08	True	"""Any process that activates or increases the frequency, rate or extent of leukocyte differentiation."" [GOC:add, GOC:TermGenie]"	187	355	21	21031	0.059154929577464786	0.11229946524064172	query_1	['GO:0002521', 'GO:1902105', 'GO:1903708']
GO:BP	GO:1903708	positive regulation of hemopoiesis	1.9239891908853174e-08	True	"""Any process that activates or increases the frequency, rate or extent of hemopoiesis."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:20080761]"	187	355	21	21031	0.059154929577464786	0.11229946524064172	query_1	['GO:0002684', 'GO:0010720', 'GO:0030097', 'GO:0051240', 'GO:1903706']
GO:BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	2.2692745086240327e-08	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of a cell, leading to the activation or perpetuation of an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	299	355	26	21031	0.07323943661971831	0.08695652173913043	query_1	['GO:0002757', 'GO:0002768']
GO:CC	GO:0070161	anchoring junction	2.4791168287214933e-08	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	905	358	44	22097	0.12290502793296089	0.04861878453038674	query_1	['GO:0030054']
GO:BP	GO:0031324	negative regulation of cellular metabolic process	3.1755979676628473e-08	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	3226	355	104	21031	0.29295774647887324	0.032238065716057036	query_1	['GO:0009892', 'GO:0031323', 'GO:0044237', 'GO:0048523']
GO:CC	GO:0043233	organelle lumen	3.236145810311268e-08	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	6657	358	165	22097	0.46089385474860334	0.024785939612438034	query_1	['GO:0031974', 'GO:0043226']
GO:CC	GO:0070013	intracellular organelle lumen	3.236145810311268e-08	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	6657	358	165	22097	0.46089385474860334	0.024785939612438034	query_1	['GO:0043229', 'GO:0043233']
GO:CC	GO:0031974	membrane-enclosed lumen	3.236145810311268e-08	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	6657	358	165	22097	0.46089385474860334	0.024785939612438034	query_1	['GO:0110165']
GO:BP	GO:0032879	regulation of localization	3.6656603550890977e-08	True	"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]"	2018	355	76	21031	0.2140845070422535	0.03766105054509415	query_1	['GO:0050789', 'GO:0051179']
GO:CC	GO:0043227	membrane-bounded organelle	3.94717220643006e-08	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	15671	358	305	22097	0.8519553072625698	0.01946270180588348	query_1	['GO:0043226']
GO:BP	GO:0071495	cellular response to endogenous stimulus	4.266472780101253e-08	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]"	1432	355	61	21031	0.17183098591549295	0.04259776536312849	query_1	['GO:0009719']
GO:BP	GO:0032103	positive regulation of response to external stimulus	4.351428373035622e-08	True	"""Any process that activates, maintains or increases the rate of a response to an external stimulus."" [GOC:mah]"	609	355	37	21031	0.10422535211267606	0.060755336617405585	query_1	['GO:0009605', 'GO:0032101', 'GO:0048584']
GO:BP	GO:0007249	canonical NF-kappaB signal transduction	4.755035581927011e-08	True	"""An intracellular signaling cassette characterized by the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB, also known as the canonical NF-kappaB signaling cascade. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription. The canonical NF-kappaB pathway is mainly stimulated by proinflammatory cytokines such as IL-1beta, tumor necrosis factor (TNF)-alpha, antigen ligands, and toll-like receptors (TLRs)."" [GOC:bf, PMID:12773372, PMID:34659217]"	309	355	26	21031	0.07323943661971831	0.08414239482200647	query_1	['GO:0141124']
GO:BP	GO:0030334	regulation of cell migration	5.1090511944008985e-08	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	934	355	47	21031	0.1323943661971831	0.05032119914346895	query_1	['GO:0016477', 'GO:2000145']
GO:BP	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	6.22019903771429e-08	True	"""Any process that modulates the frequency, rate or extent of CD4-positive, alpha-beta T cell activation."" [GOC:obol]"	75	355	14	21031	0.03943661971830986	0.18666666666666668	query_1	['GO:0035710', 'GO:0046634']
GO:BP	GO:0048468	cell development	7.253712801206598e-08	True	"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]"	2819	355	94	21031	0.2647887323943662	0.03334515785739624	query_1	['GO:0030154', 'GO:0048856', 'GO:0048869']
GO:MF	GO:0030234	enzyme regulator activity	8.022466073820417e-08	True	"""Binds to and modulates the activity of an enzyme."" [GOC:dph, GOC:mah, GOC:tb]"	1296	358	57	20212	0.15921787709497207	0.04398148148148148	query_1	['GO:0098772']
GO:BP	GO:0002819	regulation of adaptive immune response	8.4550871992486e-08	True	"""Any process that modulates the frequency, rate, or extent of an adaptive immune response."" [GOC:add]"	202	355	21	21031	0.059154929577464786	0.10396039603960396	query_1	['GO:0002250', 'GO:0050776']
GO:BP	GO:0031400	negative regulation of protein modification process	1.2069638875662556e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	400	355	29	21031	0.08169014084507042	0.0725	query_1	['GO:0031399', 'GO:0036211', 'GO:0051248']
GO:BP	GO:0043122	regulation of canonical NF-kappaB signal transduction	1.253183260577053e-07	True	"""Any process that modulates the canonical NF-kappaB signaling cascade."" [GOC:jl, PMID:12773372]"	274	355	24	21031	0.0676056338028169	0.08759124087591241	query_1	['GO:0007249', 'GO:1902531']
GO:BP	GO:0043367	CD4-positive, alpha-beta T cell differentiation	1.2690306869992343e-07	True	"""The process in which a relatively unspecialized T cell acquires specialized features of a mature CD4-positive, alpha-beta T cell."" [CL:0000624, ISBN:0781735149]"	94	355	15	21031	0.04225352112676056	0.1595744680851064	query_1	['GO:0035710', 'GO:0046632']
GO:BP	GO:2000145	regulation of cell motility	1.3603385519386812e-07	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	996	355	48	21031	0.1352112676056338	0.04819277108433735	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']
GO:BP	GO:1902532	negative regulation of intracellular signal transduction	1.4172697872661907e-07	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	544	355	34	21031	0.09577464788732394	0.0625	query_1	['GO:0009968', 'GO:0035556', 'GO:1902531']
GO:BP	GO:0051336	regulation of hydrolase activity	1.4210150104991735e-07	True	"""Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [GOC:ai]"	604	355	36	21031	0.10140845070422536	0.059602649006622516	query_1	['GO:0050790']
GO:BP	GO:0010243	response to organonitrogen compound	1.494674868894669e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [PMID:9869419]"	964	355	47	21031	0.1323943661971831	0.0487551867219917	query_1	['GO:0010033', 'GO:1901698']
GO:MF	GO:0019901	protein kinase binding	1.6296582798846446e-07	True	"""Binding to a protein kinase, any enzyme that catalyzes the transfer of a phosphate group, usually from ATP, to a protein substrate."" [GOC:jl]"	706	358	39	20212	0.10893854748603352	0.05524079320113314	query_1	['GO:0019900']
GO:BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	1.6730838804766388e-07	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	327	355	26	21031	0.07323943661971831	0.07951070336391437	query_1	['GO:0002764', 'GO:0007166']
GO:BP	GO:0040012	regulation of locomotion	1.720118549855937e-07	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	1038	355	49	21031	0.13802816901408452	0.04720616570327553	query_1	['GO:0040011', 'GO:0050789']
GO:BP	GO:0002285	lymphocyte activation involved in immune response	1.9294758211147545e-07	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]"	211	355	21	21031	0.059154929577464786	0.0995260663507109	query_1	['GO:0002366', 'GO:0046649']
GO:BP	GO:2001233	regulation of apoptotic signaling pathway	2.04214017540703e-07	True	"""Any process that modulates the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	382	355	28	21031	0.07887323943661972	0.07329842931937172	query_1	['GO:0009966', 'GO:0042981', 'GO:0097190']
GO:BP	GO:0014070	response to organic cyclic compound	2.109563486783311e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic cyclic compound stimulus."" [GOC:ef]"	905	355	45	21031	0.1267605633802817	0.049723756906077346	query_1	['GO:0010033']
GO:BP	GO:0030099	myeloid cell differentiation	2.1144873006072229e-07	True	"""The process in which a relatively unspecialized myeloid precursor cell acquires the specialized features of any cell of the myeloid leukocyte, megakaryocyte, thrombocyte, or erythrocyte lineages."" [GOC:add, ISBN:0781735149]"	437	355	30	21031	0.08450704225352113	0.06864988558352403	query_1	['GO:0030097', 'GO:0030154']
GO:BP	GO:0042113	B cell activation	2.1182290727904427e-07	True	"""The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]"	281	355	24	21031	0.0676056338028169	0.08540925266903915	query_1	['GO:0046649']
GO:BP	GO:0040017	positive regulation of locomotion	2.1933938991654093e-07	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	583	355	35	21031	0.09859154929577464	0.060034305317324184	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']
GO:BP	GO:0048871	multicellular organismal-level homeostasis	2.2648404097473065e-07	True	"""Any process involved in the maintenance of an internal steady state at the level of the multicellular organism."" [GOC:isa_complete]"	806	355	42	21031	0.11830985915492957	0.052109181141439205	query_1	['GO:0032501', 'GO:0042592']
GO:CC	GO:0005622	intracellular anatomical structure	2.365562968273296e-07	True	"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	17834	358	330	22097	0.9217877094972067	0.01850398115958282	query_1	['GO:0110165']
GO:BP	GO:0051254	positive regulation of RNA metabolic process	2.4261889883314966e-07	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1852	355	70	21031	0.19718309859154928	0.03779697624190065	query_1	['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']
GO:BP	GO:0006810	transport	2.8548758623269544e-07	True	"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]"	4350	355	125	21031	0.352112676056338	0.028735632183908046	query_1	['GO:0051234']
GO:BP	GO:0031349	positive regulation of defense response	2.904161150433174e-07	True	"""Any process that activates or increases the frequency, rate or extent of a defense response."" [GOC:mah]"	471	355	31	21031	0.08732394366197183	0.06581740976645435	query_1	['GO:0006952', 'GO:0031347', 'GO:0048584']
GO:BP	GO:0019219	regulation of nucleobase-containing compound metabolic process	3.1102376768467986e-07	True	"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	4063	355	119	21031	0.3352112676056338	0.029288702928870293	query_1	['GO:0006139', 'GO:0031323', 'GO:0051171', 'GO:0080090']
GO:BP	GO:0045582	positive regulation of T cell differentiation	3.171822262728766e-07	True	"""Any process that activates or increases the frequency, rate or extent of T cell differentiation."" [GOC:go_curators]"	117	355	16	21031	0.04507042253521127	0.13675213675213677	query_1	['GO:0030217', 'GO:0045580', 'GO:0045621', 'GO:0050870']
GO:CC	GO:0035976	transcription factor AP-1 complex	3.212522147962047e-07	True	"""A heterodimeric transcription factor complex composed of proteins from the c-Fos, c-Jun, activating transcription factor (ATF) or JDP families. The subunits contain a basic leucine zipper (bZIP) domain that is essential for dimerization and DNA binding. Jun-Fos heterodimers bind preferentially to a heptamer consensus sequence (TPA responsive element (TRE)), whereas Jun-ATF dimers bind the cyclic AMP responsive element (CRE) to regulate transcription of target genes."" [GOC:bf, GOC:BHF, GOC:rl, PMID:20060892, PMID:9069263, Wikipedia:AP-1_transcription_factor]"	5	358	5	22097	0.013966480446927373	1.0	query_1	['GO:0090575']
GO:BP	GO:0002831	regulation of response to biotic stimulus	3.250067131376439e-07	True	"""Any process that modulates the frequency, rate, or extent of a response to biotic stimulus."" [GOC:add]"	502	355	32	21031	0.09014084507042254	0.06374501992031872	query_1	['GO:0009607', 'GO:0048583']
GO:CC	GO:0005886	plasma membrane	3.2844136250827256e-07	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	5742	358	145	22097	0.40502793296089384	0.025252525252525252	query_1	['GO:0016020', 'GO:0071944']
GO:BP	GO:0009617	response to bacterium	3.657382166225988e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]"	720	355	39	21031	0.10985915492957747	0.05416666666666667	query_1	['GO:0051707']
GO:BP	GO:0046635	positive regulation of alpha-beta T cell activation	4.156351251831077e-07	True	"""Any process that activates or increases the frequency, rate or extent of alpha-beta T cell activation."" [GOC:ai]"	71	355	13	21031	0.036619718309859155	0.18309859154929578	query_1	['GO:0046631', 'GO:0046634', 'GO:0050870']
GO:BP	GO:0051128	regulation of cellular component organization	4.307791952462945e-07	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2425	355	83	21031	0.23380281690140844	0.03422680412371134	query_1	['GO:0016043', 'GO:0050794']
GO:BP	GO:0008284	positive regulation of cell population proliferation	4.621428171286614e-07	True	"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]"	962	355	46	21031	0.1295774647887324	0.04781704781704782	query_1	['GO:0008283', 'GO:0042127', 'GO:0048522']
GO:BP	GO:0046637	regulation of alpha-beta T cell differentiation	4.995692818409098e-07	True	"""Any process that modulates the frequency, rate or extent of alpha-beta T cell differentiation."" [GOC:ai]"	72	355	13	21031	0.036619718309859155	0.18055555555555555	query_1	['GO:0045580', 'GO:0046632', 'GO:0046634']
GO:BP	GO:1901652	response to peptide	5.095472907364809e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	511	355	32	21031	0.09014084507042254	0.06262230919765166	query_1	['GO:0010243', 'GO:1901700']
GO:BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	5.409508931844124e-07	True	"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	2052	355	74	21031	0.2084507042253521	0.036062378167641324	query_1	['GO:0006139', 'GO:0019219', 'GO:0031325', 'GO:0051173']
GO:BP	GO:0042093	T-helper cell differentiation	5.98646747816233e-07	True	"""The process in which a relatively unspecialized thymocyte acquires specialized features of a T-helper cell."" [GOC:ebc]"	73	355	13	21031	0.036619718309859155	0.1780821917808219	query_1	['GO:0002294']
GO:BP	GO:0002286	T cell activation involved in immune response	6.010690564271909e-07	True	"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]"	122	355	16	21031	0.04507042253521127	0.13114754098360656	query_1	['GO:0002285', 'GO:0042110']
